"player1","player2","wins1","wins2"
"Felix Auger Aliassime","Roberto Bautista Agut","1","1"
"Felix Auger Aliassime","Daniil Medvedev","0","2"
"Felix Auger Aliassime","Casper Ruud","0","2"
"Felix Auger Aliassime","Filip Krajinovic","1","0"
"Felix Auger Aliassime","Cristian Garin","1","0"
"Felix Auger Aliassime","Jannik Sinner","2","0"
"Felix Auger Aliassime","Matteo Berrettini","0","1"
"Felix Auger Aliassime","Alex De Minaur","2","0"
"Felix Auger Aliassime","Alexander Zverev","1","1"
"Felix Auger Aliassime","Daniel Evans","2","0"
"Felix Auger Aliassime","Taylor Fritz","0","2"
"Felix Auger Aliassime","Hubert Hurkacz","0","1"
"Felix Auger Aliassime","Diego Schwartzman","0","1"
"Felix Auger Aliassime","Stefanos Tsitsipas","1","0"
"Felix Auger Aliassime","Karen Khachanov","1","0"
"Felix Auger Aliassime","Marin Cilic","1","0"
"Felix Auger Aliassime","Mikael Ymer","1","0"
"Felix Auger Aliassime","Soon Woo Kwon","0","1"
"Felix Auger Aliassime","Steve Johnson","1","0"
"Felix Auger Aliassime","Rafael Nadal","1","1"
"Felix Auger Aliassime","Maxime Cressy","0","1"
"Felix Auger Aliassime","Emil Ruusuvuori","1","0"
"Felix Auger Aliassime","Tallon Griekspoor","1","0"
"Felix Auger Aliassime","Alex Molcan","0","1"
"Felix Auger Aliassime","Botic Van De Zandschulp","0","1"
"Felix Auger Aliassime","Mackenzie Mcdonald","1","0"
"Felix Auger Aliassime","Andy Murray","1","0"
"Felix Auger Aliassime","Brandon Nakashima","1","0"
"Felix Auger Aliassime","Miomir Kecmanovic","2","1"
"Felix Auger Aliassime","Oscar Otte","2","0"
"Felix Auger Aliassime","Alexander Bublik","1","0"
"Felix Auger Aliassime","Sebastian Korda","1","1"
"Felix Auger Aliassime","Carlos Alcaraz","2","0"
"Felix Auger Aliassime","Frances Tiafoe","2","0"
"Felix Auger Aliassime","Andrey Rublev","1","1"
"Felix Auger Aliassime","Alejandro Davidovich Fokina","2","0"
"Felix Auger Aliassime","Richard Gasquet","1","0"
"Felix Auger Aliassime","Lorenzo Musetti","2","1"
"Felix Auger Aliassime","Cameron Norrie","3","1"
"Felix Auger Aliassime","Ilya Ivashka","1","0"
"Felix Auger Aliassime","Marcos Giron","2","0"
"Felix Auger Aliassime","Yoshihito Nishioka","1","0"
"Felix Auger Aliassime","Holger Rune","1","1"
"Felix Auger Aliassime","J J Wolf","1","0"
"Felix Auger Aliassime","Novak Djokovic","1","1"
"Felix Auger Aliassime","Jack Draper","0","1"
"Borna Coric","Felix Auger Aliassime","1","0"
"Felix Auger Aliassime","Jason Kubler","0","1"
"Marc Andrea Huesler","Felix Auger Aliassime","0","1"
"Denis Shapovalov","Pablo Carreno Busta","1","1"
"Denis Shapovalov","Daniil Medvedev","0","2"
"Denis Shapovalov","Casper Ruud","0","1"
"Denis Shapovalov","Ugo Humbert","1","0"
"Denis Shapovalov","Alex De Minaur","0","2"
"Denis Shapovalov","Arthur Rinderknech","1","1"
"Denis Shapovalov","Alexander Zverev","1","0"
"Denis Shapovalov","Daniel Evans","1","1"
"Denis Shapovalov","Jan Lennard Struff","1","1"
"Denis Shapovalov","Taylor Fritz","1","1"
"Denis Shapovalov","Thanasi Kokkinakis","1","0"
"Denis Shapovalov","Tommy Paul","1","1"
"Denis Shapovalov","Laslo Djere","1","0"
"Denis Shapovalov","Taro Daniel","1","0"
"Denis Shapovalov","Soon Woo Kwon","1","0"
"Denis Shapovalov","Steve Johnson","1","0"
"Denis Shapovalov","Rafael Nadal","1","1"
"Denis Shapovalov","Grigor Dimitrov","1","0"
"Denis Shapovalov","Alex Molcan","1","0"
"Denis Shapovalov","Jaume Munar","1","0"
"Denis Shapovalov","Ricardas Berankis","1","0"
"Denis Shapovalov","Marton Fucsovics","1","0"
"Denis Shapovalov","Benjamin Bonzi","0","1"
"Denis Shapovalov","Andy Murray","0","1"
"Denis Shapovalov","Reilly Opelka","1","1"
"Denis Shapovalov","Lorenzo Sonego","1","1"
"Denis Shapovalov","Brandon Nakashima","0","1"
"Denis Shapovalov","Oscar Otte","0","1"
