"player1","player2","wins1","wins2"
"Taylor Fritz","Frances Tiafoe","4","0"
"Taylor Fritz","Stefanos Tsitsipas","1","1"
"Taylor Fritz","Lorenzo Musetti","2","0"
"Taylor Fritz","Matteo Berrettini","2","0"
"Taylor Fritz","Cameron Norrie","4","5"
"Taylor Fritz","Grigor Dimitrov","0","1"
"Taylor Fritz","Hubert Hurkacz","1","0"
"Taylor Fritz","Stan Wawrinka","1","0"
"Taylor Fritz","Jiri Lehecka","3","0"
"Taylor Fritz","Alex De Minaur","3","1"
"Taylor Fritz","Jason Kubler","1","0"
"Taylor Fritz","Daniel Evans","1","2"
"Taylor Fritz","Casper Ruud","0","1"
"Taylor Fritz","Borna Coric","0","1"
"Taylor Fritz","Arthur Rinderknech","1","0"
"Taylor Fritz","Adrian Mannarino","2","1"
"Taylor Fritz","Novak Djokovic","0","6"
"Taylor Fritz","Sebastian Korda","1","0"
"Taylor Fritz","Daniil Medvedev","0","1"
"Taylor Fritz","Yoshihito Nishioka","1","1"
"Taylor Fritz","Denis Shapovalov","4","3"
"Taylor Fritz","Karen Khachanov","0","1"
"Taylor Fritz","Jannik Sinner","1","1"
"Taylor Fritz","Alexei Popyrin","1","1"
"Taylor Fritz","Miomir Kecmanovic","2","1"
"Taylor Fritz","Jack Draper","0","1"
"Taylor Fritz","Roberto Bautista Agut","1","1"
"Taylor Fritz","Mackenzie Mcdonald","1","1"
"Taylor Fritz","Marcos Giron","3","1"
"Taylor Fritz","Tallon Griekspoor","1","1"
"Taylor Fritz","Aslan Karatsev","1","0"
"Taylor Fritz","Botic Van De Zandschulp","0","2"
"Taylor Fritz","Marin Cilic","1","1"
"Taylor Fritz","Maximilian Marterer","1","0"
"Taylor Fritz","Tim Van Rijthoven","0","1"
"Taylor Fritz","Michael Mmoh","1","0"
"Taylor Fritz","Richard Gasquet","0","1"
"Taylor Fritz","Jenson Brooksby","0","1"
"Taylor Fritz","David Goffin","1","0"
"Taylor Fritz","Ben Shelton","1","0"
"Taylor Fritz","J J Wolf","1","0"
"Taylor Fritz","Alejandro Davidovich Fokina","1","1"
"Taylor Fritz","Mikael Ymer","0","1"
"Taylor Fritz","John Millman","2","0"
"Taylor Fritz","Tommy Paul","2","2"
"Taylor Fritz","Rafael Nadal","2","2"
"Taylor Fritz","Lorenzo Sonego","3","2"
"Taylor Fritz","Lloyd Harris","1","1"
"Taylor Fritz","Marton Fucsovics","2","1"
"Taylor Fritz","Francisco Cerundolo","0","1"
"Taylor Fritz","Alex Molcan","1","0"
"Taylor Fritz","Felix Auger Aliassime","2","0"
"Taylor Fritz","Andrey Rublev","3","2"
"Taylor Fritz","Emil Ruusuvuori","1","0"
"Taylor Fritz","Jeremy Chardy","0","1"
"Taylor Fritz","Denis Kudla","0","1"
"Taylor Fritz","Ugo Humbert","2","0"
"Taylor Fritz","Maxime Cressy","1","0"
"Taylor Fritz","Holger Rune","1","0"
