"player1","player2","wins1","wins2"
"Felix Auger Aliassime","Denis Shapovalov","3","3"
"Felix Auger Aliassime","Roberto Bautista Agut","3","2"
"Felix Auger Aliassime","Pablo Carreno Busta","1","0"
"Felix Auger Aliassime","Daniil Medvedev","0","4"
"Felix Auger Aliassime","Casper Ruud","1","3"
"Felix Auger Aliassime","Filip Krajinovic","3","2"
"Felix Auger Aliassime","Cristian Garin","2","2"
"Felix Auger Aliassime","Jannik Sinner","2","0"
"Felix Auger Aliassime","Ugo Humbert","1","2"
"Felix Auger Aliassime","Roman Safiullin","1","0"
"Felix Auger Aliassime","Matteo Berrettini","1","4"
"Felix Auger Aliassime","Alex De Minaur","2","0"
"Felix Auger Aliassime","Alexander Zverev","2","5"
"Felix Auger Aliassime","Daniel Evans","2","1"
"Felix Auger Aliassime","Jan Lennard Struff","1","1"
"Felix Auger Aliassime","Taylor Fritz","0","2"
"Felix Auger Aliassime","John Isner","0","2"
"Felix Auger Aliassime","Hubert Hurkacz","2","1"
"Felix Auger Aliassime","Diego Schwartzman","1","2"
"Felix Auger Aliassime","Federico Delbonis","0","1"
"Felix Auger Aliassime","Stefanos Tsitsipas","3","5"
"Felix Auger Aliassime","Gael Monfils","0","1"
"Felix Auger Aliassime","Karen Khachanov","2","1"
"Felix Auger Aliassime","Marin Cilic","1","3"
"Felix Auger Aliassime","Mikael Ymer","2","0"
"Felix Auger Aliassime","Laslo Djere","0","2"
"Felix Auger Aliassime","Egor Gerasimov","4","0"
"Felix Auger Aliassime","Soon Woo Kwon","0","1"
"Felix Auger Aliassime","Corentin Moutet","3","0"
"Felix Auger Aliassime","Thiago Monteiro","2","0"
"Felix Auger Aliassime","Gianluca Mager","1","0"
"Felix Auger Aliassime","Steve Johnson","2","0"
"Felix Auger Aliassime","Rafael Nadal","1","2"
"Felix Auger Aliassime","Maxime Cressy","0","1"
"Felix Auger Aliassime","Emil Ruusuvuori","1","0"
"Felix Auger Aliassime","Grigor Dimitrov","2","0"
"Felix Auger Aliassime","Tallon Griekspoor","1","0"
"Felix Auger Aliassime","Alex Molcan","0","1"
"Felix Auger Aliassime","Botic Van De Zandschulp","1","1"
"Felix Auger Aliassime","Jaume Munar","1","0"
"Felix Auger Aliassime","Ricardas Berankis","1","0"
"Felix Auger Aliassime","Mackenzie Mcdonald","1","0"
"Felix Auger Aliassime","Henri Laaksonen","1","0"
"Felix Auger Aliassime","Marton Fucsovics","2","1"
"Felix Auger Aliassime","Aslan Karatsev","0","1"
"Felix Auger Aliassime","Andy Murray","2","0"
"Felix Auger Aliassime","Reilly Opelka","1","0"
"Felix Auger Aliassime","Lorenzo Sonego","1","0"
"Felix Auger Aliassime","Brandon Nakashima","1","0"
"Felix Auger Aliassime","Miomir Kecmanovic","2","2"
"Felix Auger Aliassime","Dusan Lajovic","0","2"
"Felix Auger Aliassime","Fabio Fognini","1","0"
"Felix Auger Aliassime","Oscar Otte","2","0"
"Felix Auger Aliassime","Alexander Bublik","2","1"
"Felix Auger Aliassime","Sebastian Korda","2","1"
"Felix Auger Aliassime","Carlos Alcaraz","3","0"
"Felix Auger Aliassime","John Millman","1","1"
"Felix Auger Aliassime","Radu Albot","1","0"
"Felix Auger Aliassime","Dominik Koepfer","0","1"
"Felix Auger Aliassime","Frances Tiafoe","3","0"
"Felix Auger Aliassime","Benoit Paire","0","1"
"Felix Auger Aliassime","Andrey Rublev","1","3"
"Felix Auger Aliassime","Norbert Gombos","1","0"
"Felix Auger Aliassime","Alejandro Davidovich Fokina","2","0"
"Felix Auger Aliassime","Richard Gasquet","1","0"
"Felix Auger Aliassime","Nick Kyrgios","2","0"
"Felix Auger Aliassime","Albert Ramos","2","1"
"Felix Auger Aliassime","Juan Ignacio Londero","1","0"
"Felix Auger Aliassime","Carlos Taberner","2","0"
"Felix Auger Aliassime","Juan Pablo Varillas","1","0"
"Felix Auger Aliassime","Damir Dzumhur","1","0"
"Felix Auger Aliassime","Jo-Wilfried Tsonga","1","0"
"Felix Auger Aliassime","Pierre Hugues Herbert","2","1"
"Felix Auger Aliassime","Gilles Simon","3","0"
"Felix Auger Aliassime","Joao Sousa","0","1"
"Felix Auger Aliassime","Stefano Travaglia","1","0"
"Felix Auger Aliassime","Jiri Vesely","1","0"
"Felix Auger Aliassime","Lorenzo Musetti","3","2"
"Felix Auger Aliassime","Bernabe Zapata Miralles","1","0"
"Felix Auger Aliassime","Cameron Norrie","5","1"
"Felix Auger Aliassime","Ilya Ivashka","1","0"
"Felix Auger Aliassime","Jenson Brooksby","0","1"
"Felix Auger Aliassime","Marcos Giron","3","0"
"Felix Auger Aliassime","Vasek Pospisil","3","1"
"Felix Auger Aliassime","Andreas Seppi","1","1"
"Felix Auger Aliassime","Yoshihito Nishioka","2","2"
"Felix Auger Aliassime","Cedrik Marcel Stebe","1","0"
"Felix Auger Aliassime","Nikoloz Basilashvili","3","0"
"Felix Auger Aliassime","Lucas Pouille","1","0"
"Felix Auger Aliassime","Holger Rune","1","1"
