"player1","player2","wins1","wins2"
"Frances Tiafoe","Jan Lennard Struff","1","1"
"Frances Tiafoe","John Millman","1","3"
"Frances Tiafoe","Mikhail Kukushkin","2","0"
"Frances Tiafoe","Miomir Kecmanovic","2","0"
"Frances Tiafoe","Marcos Giron","0","1"
"Frances Tiafoe","Egor Gerasimov","1","0"
"Frances Tiafoe","Marin Cilic","0","2"
"Frances Tiafoe","Jeremy Chardy","1","1"
"Frances Tiafoe","Liam Broady","0","1"
"Frances Tiafoe","Nikoloz Basilashvili","1","0"
"Frances Tiafoe","Fabio Fognini","0","2"
"Frances Tiafoe","Ugo Humbert","2","1"
"Frances Tiafoe","Karen Khachanov","0","2"
"Frances Tiafoe","Diego Schwartzman","1","2"
"Frances Tiafoe","Hubert Hurkacz","2","2"
"Frances Tiafoe","Pablo Carreno Busta","1","0"
"Frances Tiafoe","Kei Nishikori","0","1"
"Frances Tiafoe","Alexander Zverev","1","6"
"Frances Tiafoe","Stefanos Tsitsipas","2","2"
"Frances Tiafoe","Daniil Medvedev","0","4"
"Frances Tiafoe","Novak Djokovic","0","1"
"Frances Tiafoe","Pablo Cuevas","0","1"
"Frances Tiafoe","Guido Pella","1","0"
"Frances Tiafoe","Mackenzie Mcdonald","1","1"
"Frances Tiafoe","Filip Krajinovic","1","1"
"Frances Tiafoe","Denis Shapovalov","2","4"
"Frances Tiafoe","Feliciano Lopez","0","1"
"Frances Tiafoe","Viktor Troicki","1","0"
"Frances Tiafoe","Alexander Bublik","1","0"
"Frances Tiafoe","Cameron Norrie","0","1"
"Frances Tiafoe","Alex De Minaur","0","2"
"Frances Tiafoe","Daniel Evans","3","2"
"Frances Tiafoe","Adrian Mannarino","1","1"
"Frances Tiafoe","Andy Murray","1","2"
"Frances Tiafoe","Matteo Berrettini","0","1"
"Frances Tiafoe","Benoit Paire","2","0"
"Frances Tiafoe","Mikael Ymer","1","2"
"Frances Tiafoe","Jordan Thompson","1","1"
"Frances Tiafoe","Peter Gojowczyk","1","0"
"Frances Tiafoe","Jenson Brooksby","0","1"
"Frances Tiafoe","Kevin Anderson","1","4"
"Frances Tiafoe","Tennys Sandgren","1","0"
"Frances Tiafoe","Jason Jung","0","1"
"Frances Tiafoe","Ivo Karlovic","1","0"
"Frances Tiafoe","Pedro Martinez","1","0"
"Frances Tiafoe","Marco Cecchinato","1","0"
"Frances Tiafoe","Elias Ymer","1","0"
"Frances Tiafoe","Sam Querrey","0","2"
"Frances Tiafoe","Felix Auger Aliassime","0","1"
"Frances Tiafoe","Marton Fucsovics","1","2"
"Frances Tiafoe","Grigor Dimitrov","1","2"
"Frances Tiafoe","Carlos Alcaraz","1","0"
"Frances Tiafoe","Jannik Sinner","1","2"
"Frances Tiafoe","Gael Monfils","1","1"
"Frances Tiafoe","Philipp Kohlschreiber","1","0"
"Frances Tiafoe","Vasek Pospisil","1","0"
