"","player1","player2","win1","win2"
"1","Adriana Perez","Chanelle Scheepers",0,1
"2","Adriana Perez","Eugenie Bouchard",0,1
"3","Agnes Bukta","Simona Halep",0,1
"4","Agnieszka Radwanska","Aleksandra Wozniak",1,0
"5","Agnieszka Radwanska","Alexandra Cadantu Ignatik",1,0
"6","Agnieszka Radwanska","Alison Van Uytvanck",1,0
"7","Agnieszka Radwanska","Ana Ivanovic",3,0
"8","Agnieszka Radwanska","Anastasia Pavlyuchenkova",2,0
"9","Agnieszka Radwanska","Anastasia Rodionova",1,0
"10","Agnieszka Radwanska","Angelique Kerber",1,2
"11","Agnieszka Radwanska","Bojana Bobusic",1,0
"12","Agnieszka Radwanska","Cagla Buyukakcay",1,0
"13","Agnieszka Radwanska","Caroline Wozniacki",1,0
"14","Agnieszka Radwanska","Daniela Hantuchova",1,0
"15","Agnieszka Radwanska","Dinah Pfizenmaier",1,0
"16","Agnieszka Radwanska","Dominika Cibulkova",2,1
"17","Agnieszka Radwanska","Donna Vekic",1,0
"18","Agnieszka Radwanska","Elena Vesnina",2,0
"19","Agnieszka Radwanska","Estrella Cabeza Candela",1,0
"20","Agnieszka Radwanska","Francesca Schiavone",1,0
"21","Agnieszka Radwanska","Greta Arn",1,0
"22","Agnieszka Radwanska","Heather Watson",1,0
"23","Agnieszka Radwanska","Irina Camelia Begu",1,0
"24","Agnieszka Radwanska","Jamie Hampton",2,1
"25","Agnieszka Radwanska","Kate Makarova",0,1
"26","Agnieszka Radwanska","Kimiko Date Krumm",1,0
"27","Agnieszka Radwanska","Kirsten Flipkens",2,0
"28","Agnieszka Radwanska","Lara Arruabarrena",1,0
"29","Agnieszka Radwanska","Laura Robson",0,1
"30","Agnieszka Radwanska","Madison Keys",2,0
"31","Agnieszka Radwanska","Magdalena Rybarikova",1,0
"32","Agnieszka Radwanska","Mallory Burdette",1,0
"33","Agnieszka Radwanska","Maria Kirilenko",0,1
"34","Agnieszka Radwanska","Maria Sanchez",1,0
"35","Agnieszka Radwanska","Maria Teresa Torro Flor",1,0
"36","Agnieszka Radwanska","Mathilde Johansson",1,0
"37","Agnieszka Radwanska","Na Li",2,2
"38","Agnieszka Radwanska","Petra Kvitova",0,2
"39","Agnieszka Radwanska","Polona Hercog",1,0
"40","Agnieszka Radwanska","Roberta Vinci",1,0
"41","Agnieszka Radwanska","Sabine Lisicki",0,1
"42","Agnieszka Radwanska","Samantha Stosur",0,1
